Index,GO,Genes,Gene_Count,Truth Label
0,GO:0003186,TGFBR2 BMPR1A BMPR2 ZFPM1 HEY2,5,tricuspid valve morphogenesis
1,GO:0001525,ROCK2 ACVRL1 NGFR BTG1 LEPR EFNA1 CXCL13 MEIS1 GPX1 EMILIN1 JUN PIK3CB ZNF304 EFNA3 KRT1 EPHB1 HEY1 APELA HMGA2 CCDC134 PAK4 RORA PIK3C2A RSPO3 CCL24 GDF2 APOH PDGFRB S1PR1 TGFBI RECK CXCR2 STAT3 RAPGEF3 PRKCB MAPK7 SARS1 PRL KDR AMOTL1 FOXC1 CARD10 ERBB2 GADD45A PRKD1 HIF1A GJA5 PLCD3 SPRY2 NAA15 NIBAN2 PRKX SLIT2 FBXW7 FGF6 TNMD GATA4 EPAS1 HOXA3 PPARG PDCD6 HK2 TERT COL18A1 NFATC4 IL1A CD34 RBPJ ANGPTL6 ATP5IF1 FOXC2 OR10J5 HRG BCAS3 PKNOX1 SMAD1 SASH1 SP1 UBP1 CEMIP2 PML KLF5 CX3CL1 PIK3R3 FGF10 PDCD10 FGF2 KRIT1 TSPAN12 CCBE1 PTGIS ANGPT2 RHOB VEGFB HSPB1 FZD8 PTPRM TJP1 CDC42 ANXA2 HSPG2 CEACAM1 EMILIN2 PDPK1 NOTCH4 COL8A1 CCN2 VASH1 PARVA HIPK1 E2F2 SOX17 C5AR1 CXCL8 ADGRB1 ITGA2B ADAM15 HMOX1 MIA3 PIK3CD HSPB6 SHC1 TYMP VAV2 NRARP LEP CYBB EPN2 SMOC2 SETD2 PDGFRA MINAR1 IL17F HAND2 DAB2IP PTPRB ADRA2B PRCP FASLG WNT7A EPHB2 SHB RGCC F3 SPARC SPINK5 ADM2 YWHAZ ITGA5 FOXO4 PDGFA ANXA3 APOD ANPEP PDCL3 NRP1 CASP8 ISL1 CAV1 EGR3 PTK2 STAB2 MYDGF MCAM PLXDC1 NFE2L2 TGFBR2 TBX4 SH2D2A AMOT FLT1 PROK1 FLNA CCN6 VEGFA C3AR1 KLF4 ANGPT4 VEGFC IL18 PLXND1 NDNF SYK C5 TDGF1 MAP3K3 TNFSF12 FOXJ2 THY1 ANGPTL4 SERPINF1 TBX20 CD40 THBS1 TMEM100 ANGPT1 JAM3 NCL ATP2B4 HGF IL12B CIB1 UNC5B SLC39A12 WASF2 GATA6 ID1 S100A7 ADAM8 RHOA NRCAM ITGB8 ATF2 EMP2 ABL1 FUT1 WARS1 DAG1 NOX1 EREG ATP5F1B PIK3CA ENG COL22A1 PRKD2 ALOX5 CCL2 SHH MAP2K5 IHH CALD1 SRPK2 POFUT1 MMP19 MAPK14 CLEC14A CXCL17 SEMA4A OVOL2 HYAL1 ROBO1 EIF2AK3 RBM15 NOTCH1 SRF FMNL3 PKM COL15A1 LEF1 CSPG4 LRG1 BMPR1A CX3CR1 EPGN DLL4 COL4A3 HTATIP2 BMP4 NRP2 PPP3R1 SFRP1 RLN2 FGF16 RNF213 WARS2 THBS2 TGFB2 BSG CDH13 SLC12A2 FGF9 ACTG1 CCL11 GAB1 EDN1 SCG2 GPR4 CALCRL MTDH SPRED1 CELA1 CCR3 SYNJ2BP KLF2 ITGAV ANGPTL3 RRAS PTGS2 NODAL CD160 PXDN PANK2 RAMP2 SPHK1 GPR15 APLNR STAT1 FKBPL SIRT1 DLL1 AKT3 HDAC7 RHOJ AGO1 TMIGD2 ITGB1BP1 HOXB3 C3 CCN1 NF1 NR2E1 EPHA1 RNH1 HOXA7 HDAC5 PGF ITGAX VAV3 SFRP2 CAMP ROBO4 ACE NPPB NOTCH3 CREB3L1 HHEX GRN TNFRSF12A GHSR TBXA2R TGFBR1 MFGE8 GPNMB CTNNB1 CCN3 JAK1 TEK ADIPOR2 COL4A1 LOXL2 MDK ENPEP GBX2 JUP HDAC9 GPLD1 RUNX1 EDNRA FAP AGT CCM2 TBX1 CXCR3 AAMP CNMD PIK3R6 ADAMTS9 NUS1 B4GALT1 FGF8 HIF3A AGO2 NPR1 E2F7 GTF2I AMOTL2 PRKCA SLC12A6 SRPX2 ROCK1 EMC10 ERAP1 ABCC8 PTEN CTSH CDH5 MMP2 ADAMTS1 ELK3 FGF18 ECM1 NINJ1 ARHGAP22 MMRN2 STAB1 ITGB3 PGK1 VEGFD ACVR1 SEMA6A DCN DDAH1 ETS1 SAT1 ADGRB3 FGFR2 NOS3 NAXE GATA2 PTK2B TLR3 IL12A ADTRP PLCG1 JCAD THSD7A EGLN1 MED1 HGS HS6ST1 ITGB1 TIE1 SIRT6 HOXA5 AKT1 COL8A2 MYH9 FGFBP1 MMP14 NOTCH2 RAMP1 IL1B TNFAIP2 PF4 ISM1 NOX5 NR4A1 MEOX2 HOXB13 SEMA5A ADAM12 ANG JMJD8 TNFSF12-TNFSF13 BRCA1 APOLD1 PROK2 EFNB2 HIPK2 ADGRB2 STK4 TNN JAG1 STARD13 ANXA1 APLN ADM WNT5A EPHB4 EPHA2 TCF21 SOX18 CHRNA7 FZD5 IL10 EPHB3 EGFL7 ADGRA2 AIMP1 CXCR4 E2F8 C1GALT1 ZC3H12A EPN1 VSTM4 PLK2 GHRL GREM1 TWIST1 PPP1R16B FLT4 IL6 TMEM215 TNF SERPINE1 AGTR1 MECP2 ARHGAP24 TNFAIP3 CHI3L1 EDN2 EGF CCR2 SP100 VEZF1 AGGF1 S100A1 THBS4 ENPP2 HAND1 KLK3 SULF1 CLIC4 BMPER CMA1 RASIP1 GLUL SEMA3E FGF1 PIK3CG CLDN5 STIM1 AQP1 VASH2 JMJD6 CYP1B1 TAFA5 ESM1 OTULIN HPSE ACKR3 COL4A2 UTS2 FN1 ECSCR XBP1 TGFA CXCL10 PDE3B ADGRG1 HLA-G GNA13 YJEFN3,523,angiogenesis
2,GO:0031670,IL15 CYP24A1 FOLR1 FOXA2 BRIP1 GAS6 TRIM24 PHEX FES CASR LPL GDAP1 PIM1 FGF23 ATP2B1 NR1H4 DCPS MED1 SRF SFRP1 CYP27B1 BGLAP PENK MN1 FOLR2 HMOX1 PDK2 USF2 NCOA1 USF1 XBP1 KANK2 COL1A1 POSTN LEP RXRB SNAI2 CDKN2B VDR SNW1 NDOR1 RXRA,42,cellular response to nutrient
3,GO:0001675,VPS13B ACTL7A AGFG1 SOX30 SPACA1 PLA2G3 ACRBP MFSD14A PAFAH1B1 RFX2 ZPBP FABP9 CCDC136 GARIN1A TMF1 GARIN1B SPINK2 TBPL1 NECTIN2 ACTL9 ZPBP2 PLN TBC1D20 SPPL2C KNL1,25,acrosome assembly
4,GO:0050883,DRD3 ASCL1,2,"musculoskeletal movement, spinal reflex action"
5,GO:0003171,OLFM1 TGFBR2 BMP2 TGFB2 TBX5 APLNR HEYL EFNA1 MDM4 GJA5 BMPR2 SLIT3 HEY1 NOTCH1 GATA4 MDM2 TWIST1 CCN1 ACVR1 SMAD4 HEY2 SOX4 SMAD6 BMPR1A DCHS1 ZFPM1 TBX20,27,atrioventricular valve development
6,GO:0006436,WARS1 WARS2,2,tryptophanyl-tRNA aminoacylation
7,GO:0071389,SCNN1B IGF1R ACE EDN1 AIFM1 SCNN1D SGK1 FOXO3 SCNN1A GPER1 ATP2B1 NPAS4 SCNN1G,13,cellular response to mineralocorticoid stimulus
8,GO:0050911,OR2M5 OR10G7 OR2AE1 OR52B6 OR11H1 OR4X2 OR2L3 OR2AP1 OR10AG1 OR52M1 OR14C36 OR4K5 OR52E2 OR51V1 OR4L1 OR4K17 OR5A2 OR7C2 OR2A1 OR9I1 OR5D16 OR4C11 OR3A2 OR1S1 OR52W1 OR1E2 OR2S2 OR6B1 OR4D10 OR5AS1 OR1N2 OR5AP2 OR4C13 OR7G2 OR2T29 OR2T27 OR5K3 OR10Z1 OR2G2 OR6K2 OR51B2 OR52I2 CNGB1 OR2D3 OR4C5 OR2G3 OR2M2 OR5P2 OR10J5 OR5H15 OR4D1 OR6C3 OR6C2 OR6N2 OR2W1 OR2D2 OR8U3 OR4C6 OR8H1 OR2L2 OR52E4 OR5AN1 SLC24A4 OR11L1 OR10R2 OR1F1 OR12D1 OR4D5 GPR148 OR10W1 OR52B2 OR56A4 OR5W2 OR1L4 OR2K2 OR56B4 OR13C8 OR52A1 OR6C68 OR5M9 OR6C76 OR5M11 OR8G5 OR4F17 OR5H6 OR10G9 OR2T34 OR51B4 OR8U9 OR8G1 OR2J1 OR4B1 OR51S1 OR2T3 OR5H1 OR2T33 OR6C65 OR51Q1 OR5B21 OR9A2 OR10A7 OR52N5 OR5L1 OR7C1 OR13C3 OR13F1 OR2A25 OR9A4 OR4E1 OR5K4 OR8B2 OR2B2 OR51A7 OR6M1 OR8H2 OR2L8 OR5M3 OR6F1 OR4F3 OR51J1 OR4P4 OR5AU1 OR10A6 OR52K1 OR52Z1P OR4D11 OR7E24 OR4C12 LOC102723532 OR1E1 OR3A1 OR6T1 OR2Z1 OR10A5 OR6S1 OR13H1 OR9G4 OR7G3 OR2T4 OR5C1 OR6K3 OR5B12 OR1L8 OR2B6 OR5AL1 OR51D1 OR5AK2 OR4Q3 OR4M2 OR8K1 OR13C4 OR8D1 OR10P1 OR3A3 OR5T1 OR10C1 OR52E8 OR1J2 OR8S1 OR2H1 OR7G1 OR1J4 OR52R1 OR5M8 OR13A1 OR2C1 OR1A2 OR6C75 OR5L2 OR51M1 OR1M1 OR51G2 OR10H5 OR2AG2 OR4A15 OR10G8 OR1L3 OR5D18 OR5H14 OR6C70 OR4C46 OR9G1 OR2AG1 OR10G4 OR6N1 OR1D2 OR52N2 OR2T6 OR4M1 OR11A1 OR14J1 OR6K6 OR2A7 OR2T11 OR5AR1 OR52E6 OR10H1 OR2B3 OR2T1 OR4K14 OR4C15 OR1B1 OR12D2 OR8B8 OR5A1 OR13C9 OR10H4 OR11G2 OR1N1 OR5B3 OR4C16 OR52A5 OR6C74 OR4F15 OR5K2 OR2A14 OR6B2 OR2T8 OR6C1 OR2T10 OR51H1 OR2A12 OR56B1 OR52N4 OR10H3 OR6P1 OR8H3 OR8J3 OR5AC2 OR8J1 OR52L1 OR4F29 OR8A1 OR51I2 OR56A3 OR13C2 OR8U1 OR6X1 OR2L5 OR10G3 OR10A4 OR10H2 OR4F21 OR10J3 OR51T1 OR4A47 OR8B4 OR4K13 OR52I1 OR4D6 OR8K3 OR10G2 OR4X1 OR2F1 OR4A16 OR2G6 OR5T2 OR1L1 OR4N5 OR2H2 OR1J1 OR5M10 OR13J1 OR7A10 OR1K1 OR52J3 OR2F2 OR10S1 OR5B2 OR52N1 OR5V1 OR7D2 OR6C4 OR2A42 OR52B4 OR4F6 OR11H12 OR6Q1 OR51B6 OR2J2 OR2V2 OR2M7 OR4K2 OR6A2 OR5F1 OR5K1 OR2B11 OR9K2 OR51G1 OR11H6 OR51A2 OR8D2 OR7A17 OR8U8 OR1I1 OR2C3 OR8B12 OR4N2 OR10T2 OR8K5 OR6C6 OR5I1 OR13G1 OR2T2 OR6Y1 OR2A5 OR8G2P OR4F5 OR2J3 OR4F16 OR2AT4 OR11H2 OR2W5P OR4D9 OR4C3 OR8D4 OR1D5 OR4D2 OR9Q2 OR1C1 OR1L6 OR2A4 OR2A2 OR4S1 OR5P3 OR10J1 OR6V1 OR52H1 OR2Y1 OR10X1 OR52D1 OR2V1 OR9Q1 OR5B17 OR5H2 OR2W3 OR5J2 OR51E2 OR4N4 OR51E1 OR1G1 OR8B3 OR14A16 OR10AD1 OR4K1 OR52E1 OR10K2 OR2M3 OR13D1 OR4C45 OR7D4 OR51B5 OR2L13 OR10A2 OR10A3 OR11H7 OR10K1 OR11H4 OR4K15 OR2T12 OR5T3 OR4S2 OR56A5 OR10V1 OR14I1 OR56A1 OR1Q1 OR51F2 OR1S2 OR52K2 OR7A5 OR51L1 OR1A1 OR2T35 OR12D3 OR5M1 OR2AK2 OR51I1 OR6B3 OR13C5 OR8I2 OR10Q1 OR2M4 OR5D13 OR51A4 OR4F4 OR4A5 OR2T5 OR5D14,389,detection of chemical stimulus involved in sensory perception of smell
9,GO:0006643,DEGS2 PIGG SGPP1 SERINC5 SMPDL3B ACER2 VPS54 DEGS1 SERINC2 ST8SIA3 PIGB HACD3 AGMO FUT3 ELOVL5 PIGO ALOX12B PIGU NAAA ST6GALNAC5 ST6GALNAC6 FUT7 BAX HACD4 PNLIPRP2 AGK CLN6 NEU2 GAL3ST4 P2RX7 PIGF ELOVL4 CERS2 ORMDL1 MPPE1 CERS1 SPTLC1 VAPA ZPBP2 FUT9 MGST2 SMPD2 ORMDL3 SFTPB PLPP2 B3GALT4 ALOXE3 PSAPL1 ORMDL2 B4GALT3 GBA1 LCT FUT5 SPHK1 B4GALT6 PIGT PIGX ABCA2 ST8SIA4 PLPP3 SMPD4 PRKD1 KIT CERK GLTP CERS6 SGMS2 ARV1 PSAP PIGS GALC ELOVL6 SPTLC2 PLA2G6 DPM3 PIGP CPTP PIGK TM9SF2 SGPL1 B3GNT5 NAGA SERINC1 B3GALNT1 ABCA12 ST3GAL4 LARGE1 CCN1 SPTSSB GAL3ST2 GLA ASAH2B TECR ST3GAL1 B4GALNT1 ASAH1 ELOVL1 NEU3 PIGZ A3GALT2 SPTSSA SPHK2 B3GALT2 KDSR SAMD8 ST8SIA1 SCCPDH CERT1 PRKAA1 PGAP2 ABCA8 TH PIGA HEXA NEU4 PGAP4 PPP2R1A PGAP1 SGMS1 PIGY PPT1 ST3GAL5 FA2H ST8SIA2 PIGH PPP2CA ALDH3B1 PIGW FUCA1 GPAA1 ACER1 GLB1 B4GALT4 PIGQ SMPDL3A CYP4F22 PRKD3 SIRT3 SMPD1 ELOVL7 ST3GAL6 PIGV PIGM B4GALT5 GPLD1 DPM1 ST3GAL3 ITGB8 ST8SIA5 PPM1L GAL3ST3 UGT8 ST8SIA6 SERINC3 FADS3 PGAP3 CERKL CERS5 PIGN SUMF1 PRKD2 ASAH2 B3GALT1 GBA3 GBGT1 SPNS2 ELOVL3 SLC30A5 ST6GALNAC3 PLPP1 PNPLA1 CLN8 SGPP2 ENPP2 GAL3ST1 SMPD3 HACD1 GBA2 DPM2 PEMT CSNK1G2 HACD2 TLCD3B ENPP7 TEX2 NSMAF UGCG ELOVL2 FUT6 CERS3 SPTLC3 P2RX1 ACER3 CERS4 CYP1B1 HTRA2 NEU1 OSBP ST6GALNAC4 PLA2G15 FUT2 A4GALT HEXB ST3GAL2 PRKCD CWH43 C20orf173 PIGC GM2A PIGL,210,membrane lipid metabolic process
