ID,Name,Count,Genes
AT13148,AT13148,6,AKT1 AKT2 AKT3 ROCK1 ROCK2 SGK3
CHIR-99021,CHIR-99021,7,GSK3A GSK3B CTNNB1 MYC CCND1 CDX2 AXIN2
AZD2014,AZD2014,2,MTOR MAPKAP1
UMI-77,UMI-77,1,MCL1
LMB_AB3,LMB_AB3,1,PPP1R15B
Pevonedistat,Pevonedistat,3,UBA3 NEDD8 NAE1
LCL161,LCL161,3,XIAP BIRC2 BIRC3
AZD6738,AZD6738,2,ATR CHEK1
Linsitinib,Linsitinib,3,IGF1R INSR INSRR
AZD5991,AZD5991,3,MCL1 BAX BAK1
BEN,BEN,0,
Topotecan,Topotecan,2,TOP1 TOP1MT
GSK2578215A,GSK2578215A,1,LRRK2
MIRA-1,MIRA-1,5,TP53 WWOX SAT1 NFE2L2 SLC40A1
VE-822,VE-822,2,ATR ATM
PLX-4720,PLX-4720,2,KDR BRAF
Camptothecin,Camptothecin,1,TOP1
THR-101,THR-101,3,KRAS HRAS NRAS
OTX015,OTX015,3,BRD2 BRD3 BRD4
MK-1775,MK-1775,3,WEE1 PLK1 CDK1
GSK1904529A,GSK1904529A,3,IGF1R IR INSR
Pictilisib,Pictilisib,3,PIK3CG PIK3CA MTOR
Niraparib,Niraparib,2,PARP1 PARP2
Nutlin-3a (-),Nutlin-3a (-),6,MDM2 TP53 TET1 CDKN1A GFPT2 KRAS
SGC0946,SGC0946,5,DOT1L TBX6 NR1H4 STAT5B CDK6
AZD7762,AZD7762,2,CHEK1 CHEK2
ERK_6604,ERK_6604,3,MAPK3 MAPK1 GPSM2
GDC0810,GDC0810,2,ESR1 ESR2
SB590885,SB590885,3,BRAF ARAF RAF1
Picolinici-acid,Picolinici-acid,5,IDO1 IDO2 TDO2 KYNU KMO
Sepantronium bromide,Sepantronium bromide,5,BIRC5 ILF3 NONO BIRC4 NAIP
KRAS (G12C) Inhibitor-12,KRAS (G12C) Inhibitor-12,1,KRAS
IOX2,IOX2,4,EGLN1 HIF1A KDM2A KDM5C
VE821,VE821,1,ATR
IAP_5620,IAP_5620,6,BIRC2 BIRC3 XIAP BIRC5 BIRC6 BIRC7
AZD1208,AZD1208,8,PIM1 PIM2 PIM3 MYC MCL1 GSK3B TP53 ABCC1
729189,729189,0,
Fludarabine,Fludarabine,5,ADA DCK POLA1 RRM1 RRM2
VX-11e,VX-11e,6,MAPK1 CDKN1A BIRC5 NFKB1 STAT3 EIF4B
Lestaurtinib,Lestaurtinib,5,FLT3 JAK2 NTRK1 NTRK2 NTRK3
AZD5363,AZD5363,4,AKT1 AKT2 AKT3 ROCK2
Olaparib,Olaparib,7,PARP1 PARP2 PARP3 AKR1C3 BRCA1 BRCA2 CYP3A4
Daporinad,Daporinad,1,NAMPT
CCT-018159,CCT-018159,2,HSP90AA1 HSP90AB1
GSK2801,GSK2801,6,BAZ2A BAZ2B BRD9 MYCN RPL10A RPL24
MK-2206,MK-2206,3,AKT1 AKT2 AKT3
I-BET-762,I-BET-762,3,BRD2 BRD3 BRD4
LMP744,LMP744,2,TOP1 SLFN11
Motesanib,Motesanib,6,KDR KIT RET PDGFRL FLT1 FLT4
AGI-6780,AGI-6780,1,IDH2
Remodelin,Remodelin,6,NAT10 ITGB1 CD47 ROCK2 AHNAK NOX2
LMB_AB2,LMB_AB2,1,PPP1R15A
SCH772984,SCH772984,2,MAPK3 MAPK1
Alisertib,Alisertib,1,AURKA
BPD-00008900,BPD-00008900,0,
Cediranib,Cediranib,8,KDR FLT1 FLT4 FLT3 KIT PDGFRB CSF1R PDGFRA
SGC-CBP30,SGC-CBP30,2,EP300 CREBBP
GSK3337463A,GSK3337463A,1,MAP3K14
Zoledronate,Zoledronate,7,FDPS GGPS1 RHOA RAP1A RAP1 RAB6A CASP3
