PathwayID,PathwayName,Layer
R-HSA-109582,Hemostasis,0
R-HSA-112316,Neuronal System,0
R-HSA-1266738,Developmental Biology,0
R-HSA-1430728,Metabolism,0
R-HSA-1474165,Reproduction,0
R-HSA-1474244,Extracellular matrix organization,0
R-HSA-1500931,Cell-Cell communication,0
R-HSA-162582,Signal Transduction,0
R-HSA-1640170,Cell Cycle,0
R-HSA-1643685,Disease,0
R-HSA-168256,Immune System,0
R-HSA-1852241,Organelle biogenesis and maintenance,0
R-HSA-382551,Transport of small molecules,0
R-HSA-392499,Metabolism of proteins,0
R-HSA-397014,Muscle contraction,0
R-HSA-400253,Circadian Clock,0
R-HSA-4839726,Chromatin organization,0
R-HSA-5357801,Programmed Cell Death,0
R-HSA-5653656,Vesicle-mediated transport,0
R-HSA-69306,DNA Replication,0
R-HSA-73894,DNA Repair,0
R-HSA-74160,Gene expression (Transcription),0
R-HSA-8953854,Metabolism of RNA,0
R-HSA-8953897,Cellular responses to stimuli,0
R-HSA-8963743,Digestion and absorption,0
R-HSA-9609507,Protein localization,0
R-HSA-9612973,Autophagy,0
R-HSA-9709957,Sensory Perception,0
R-HSA-9748784,Drug ADME,0
R-HSA-109581,Apoptosis,1
R-HSA-112307,Transmission across Electrical Synapses ,1
R-HSA-112315,Transmission across Chemical Synapses,1
R-HSA-1181150,Signaling by NODAL,1
R-HSA-1187000,Fertilization,1
R-HSA-1268020,Mitochondrial protein import,1
R-HSA-1280215,Cytokine Signaling in Immune system,1
R-HSA-1280218,Adaptive Immune System,1
R-HSA-1296071,Potassium Channels,1
R-HSA-1362409,Mitochondrial iron-sulfur cluster biogenesis,1
R-HSA-1368071,NR1D1 (REV-ERBA) represses gene expression,1
R-HSA-1368082,RORA activates gene expression,1
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",1
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),1
R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,1
R-HSA-1474228,Degradation of the extracellular matrix,1
R-HSA-1474290,Collagen formation,1
R-HSA-1475029,Reversible hydration of carbon dioxide,1
R-HSA-1480926,O2/CO2 exchange in erythrocytes,1
R-HSA-1483249,Inositol phosphate metabolism,1
R-HSA-1500620,Meiosis,1
R-HSA-1566948,Elastic fibre formation,1
R-HSA-1566977,Fibronectin matrix formation,1
R-HSA-157118,Signaling by NOTCH,1
R-HSA-15869,Metabolism of nucleotides,1
R-HSA-1592230,Mitochondrial biogenesis,1
R-HSA-1632852,Macroautophagy,1
R-HSA-163685,Integration of energy metabolism,1
R-HSA-165159,MTOR signalling,1
R-HSA-168249,Innate Immune System,1
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",1
R-HSA-186712,Regulation of beta-cell development,1
R-HSA-189445,Metabolism of porphyrins,1
R-HSA-194441,Metabolism of non-coding RNA,1
R-HSA-195721,Signaling by WNT,1
R-HSA-196854,Metabolism of vitamins and cofactors,1
R-HSA-199991,Membrane Trafficking,1
R-HSA-202131,Metabolism of nitric oxide: NOS3 activation and regulation,1
R-HSA-202733,Cell surface interactions at the vascular wall,1
R-HSA-2028269,Signaling by Hippo,1
R-HSA-211000,Gene Silencing by RNA,1
R-HSA-211859,Biological oxidations,1
R-HSA-212165,Epigenetic regulation of gene expression,1
