PathwayID,PathwayName,Layer
R-HSA-109582,Hemostasis,0
R-HSA-112316,Neuronal System,0
R-HSA-1266738,Developmental Biology,0
R-HSA-1430728,Metabolism,0
R-HSA-1474165,Reproduction,0
R-HSA-1474244,Extracellular matrix organization,0
R-HSA-1500931,Cell-Cell communication,0
R-HSA-162582,Signal Transduction,0
R-HSA-1640170,Cell Cycle,0
R-HSA-1643685,Disease,0
R-HSA-168256,Immune System,0
R-HSA-1852241,Organelle biogenesis and maintenance,0
R-HSA-382551,Transport of small molecules,0
R-HSA-392499,Metabolism of proteins,0
R-HSA-397014,Muscle contraction,0
R-HSA-400253,Circadian Clock,0
R-HSA-4839726,Chromatin organization,0
R-HSA-5357801,Programmed Cell Death,0
R-HSA-5653656,Vesicle-mediated transport,0
R-HSA-69306,DNA Replication,0
R-HSA-73894,DNA Repair,0
R-HSA-74160,Gene expression (Transcription),0
R-HSA-8953854,Metabolism of RNA,0
R-HSA-8953897,Cellular responses to stimuli,0
R-HSA-8963743,Digestion and absorption,0
R-HSA-9609507,Protein localization,0
R-HSA-9612973,Autophagy,0
R-HSA-9709957,Sensory Perception,0
R-HSA-9748784,Drug ADME,0
