PathwayID,PathwayName,GeneSymbol
R-HSA-109606,Intrinsic Pathway for Apoptosis,AKT1
R-HSA-109606,Intrinsic Pathway for Apoptosis,AKT2
R-HSA-109606,Intrinsic Pathway for Apoptosis,AKT3
R-HSA-109606,Intrinsic Pathway for Apoptosis,APAF1
R-HSA-109606,Intrinsic Pathway for Apoptosis,API3
R-HSA-109606,Intrinsic Pathway for Apoptosis,APIP
R-HSA-109606,Intrinsic Pathway for Apoptosis,APRF
R-HSA-109606,Intrinsic Pathway for Apoptosis,ASPP1
R-HSA-109606,Intrinsic Pathway for Apoptosis,ASPP2
R-HSA-109606,Intrinsic Pathway for Apoptosis,AVEN
R-HSA-109606,Intrinsic Pathway for Apoptosis,BAD
R-HSA-109606,Intrinsic Pathway for Apoptosis,BAK
R-HSA-109606,Intrinsic Pathway for Apoptosis,BAK1
R-HSA-109606,Intrinsic Pathway for Apoptosis,BAX
R-HSA-109606,Intrinsic Pathway for Apoptosis,BBC3
R-HSA-109606,Intrinsic Pathway for Apoptosis,BBC6
R-HSA-109606,Intrinsic Pathway for Apoptosis,BBP
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L1
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L11
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L4
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L7
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCL2L8
R-HSA-109606,Intrinsic Pathway for Apoptosis,BCLX
R-HSA-109606,Intrinsic Pathway for Apoptosis,BID
R-HSA-109606,Intrinsic Pathway for Apoptosis,BIM
R-HSA-109606,Intrinsic Pathway for Apoptosis,BIRC4
R-HSA-109606,Intrinsic Pathway for Apoptosis,BMF
R-HSA-109606,Intrinsic Pathway for Apoptosis,C17orf47
R-HSA-109606,Intrinsic Pathway for Apoptosis,C1QBP
R-HSA-109606,Intrinsic Pathway for Apoptosis,CALNA3
R-HSA-109606,Intrinsic Pathway for Apoptosis,CARD8
R-HSA-109606,Intrinsic Pathway for Apoptosis,CASP3
R-HSA-109606,Intrinsic Pathway for Apoptosis,CASP7
R-HSA-109606,Intrinsic Pathway for Apoptosis,CASP8
R-HSA-109606,Intrinsic Pathway for Apoptosis,CASP9
R-HSA-109606,Intrinsic Pathway for Apoptosis,CDKN2
R-HSA-109606,Intrinsic Pathway for Apoptosis,CDKN2A
R-HSA-109606,Intrinsic Pathway for Apoptosis,CDN1
R-HSA-109606,Intrinsic Pathway for Apoptosis,CGI-29
R-HSA-109606,Intrinsic Pathway for Apoptosis,CGL1
R-HSA-109606,Intrinsic Pathway for Apoptosis,CNA2
R-HSA-109606,Intrinsic Pathway for Apoptosis,CNA3
R-HSA-109606,Intrinsic Pathway for Apoptosis,CNB
